"species","rangeSize100","rangeSize0","GCM","nicheSize","nicheDensity","rangeChange0_SSP1","rangeChange0_SSP3","rangeChange0_SSP5","rangeChange100_SSP1","rangeChange100_SSP3","rangeChange100_SSP5"
"Acanthocalycium leucanthum",910053,819802,"MPI-ESM1-2-HR",40.298503625649,2631000,0.756854703940708,0,0,0.781628102978618,0,0
"Acanthocalycium rhodotrichum",753633,626113,"UKESM1-0-LL",10.6895265342959,941476,0.312764628749124,0.080921495001701,3.03459599145841e-05,0.292759207731084,0.0757848979543093,0.00228227797880401
"Acanthocalycium thionanthum",19882,6761,"MPI-ESM1-2-HR",4.9653341628999,156730,1.37568407040379,1.41487945570182,2.03372282206774,1.34800321899205,1.36942963484559,2.99129866210643
"Acanthocereus oaxacensis",16580,10753,"GFDL-ESM4",2.12340654756472,136743,0,0,0,0,0,0
"Acanthocereus tetragonus",2554083,2453827,"GFDL-ESM4",73.8524665150533,4126555,1.01940519849199,0.65220897805754,0.582198337535613,1.02175457884493,0.656745297627368,0.595974367316959
"Acharagma roseanum",18993,9075,"GFDL-ESM4",0.657519889440178,64536,0,0,0,0,0,0
"Airampoa ayrampo",754480,680763,"UKESM1-0-LL",28.4963742358947,1939228,1.02493966328957,1.03531037967692,1.02005396885553,1.02302512989079,1.03173974127876,1.02032923337928
"Aporocactus flagelliformis",54623,48337,"UKESM1-0-LL",6.34296044112113,478366,0.243188447772928,0,0,0.514563462277795,0,0
"Aporocactus martianus",27303,14345,"UKESM1-0-LL",4.20205235228491,316588,1.88476821192053,1.88476821192053,1.88476821192053,3.27319342196828,3.27319342196828,3.27319342196828
"Ariocarpus fissuratus",345368,256418,"GFDL-ESM4",8.92941505015314,813998,0,0,0,0,0,0
"Ariocarpus retusus",160494,105260,"UKESM1-0-LL",10.4932457514237,530670,1.06991259737792,0.968972069162075,0.904759642789284,1.09739304896133,0.955312971201416,0.881665358206537
"Armatocereus cartwrightianus",87770,63458,"UKESM1-0-LL",16.4107371168153,667245,0.0038450628762331,0.00340382615273094,0,0.0695340093426,0.07297482055372,0.0748547339637689
"Armatocereus godingianus",44536,18400,"UKESM1-0-LL",7.59628279573508,661426,0,0,0,0,0,0
"Armatocereus laetus",42231,31893,"MPI-ESM1-2-HR",7.80081914086471,342203,0.0100335496817483,0.00178722603706142,0.0217289060295363,0.0807937297246099,0.00227321162179442,0.0340744950391892
"Armatocereus matucanensis",200955,167498,"MPI-ESM1-2-HR",21.136338313939,736553,0.398309233543087,0.544949790445259,0.692903795866219,0.356990370978577,0.532198750964146,0.636112562513996
"Arrojadoa dinae",70472,45837,"MPI-ESM1-2-HR",4.64944580903473,218945,0,0,0,0,0,0
"Arrojadoa penicillata",288005,258042,"GFDL-ESM4",8.47430386045425,415351,0,0,0,0,0,0
"Arrojadoa rhodantha",540900,471365,"GFDL-ESM4",12.0582954104812,705487,0.579145672674042,0.159506963817848,0.200318224730305,0.585457570715474,0.14057866518765,0.177581808097615
"Arthrocereus glaziovii",28173,8976,"UKESM1-0-LL",1.55667554407999,208761,0,0,0,0,0,0
"Astrophytum asterias",70009,34743,"UKESM1-0-LL",2.44503317222826,85118,1.37935699277552,1.37935699277552,1.37935699277552,1.96550443514405,1.96607579025554,1.96610435801111
"Astrophytum capricorne",80838,42516,"GFDL-ESM4",4.04960374199273,383878,0,0,0,0,0,0
"Astrophytum myriostigma",114086,88536,"UKESM1-0-LL",4.23021091198216,173271,0.0680740037950664,0.0453713743561941,0,0.0790018056553828,0.0554581631400873,0
"Astrophytum ornatum",46053,19429,"GFDL-ESM4",8.0753914380196,754511,0.988264964743425,0.182870966081631,0.00473518966493386,1.50726337046446,0.268820706577205,0.00199769830412785
"Austrocactus coxii",160060,83932,"GFDL-ESM4",9.41634430972472,823806,0.038078444455035,0,0,0.0970698488066975,0,0
"Austrocylindropuntia cylindrica",125746,100048,"MPI-ESM1-2-HR",17.1082063978966,1143833,0,0,0.0649488245642092,0.00576559095319135,0.00336392410096544,0.13804017622827
"Austrocylindropuntia exaltata",225045,181643,"UKESM1-0-LL",9.90848255899365,504703,0.669125702614469,0.635224038360961,0.988119553189498,0.631571463485081,0.5833588837788,0.881712546379613
"Austrocylindropuntia floccosa",410377,378424,"UKESM1-0-LL",23.9401276815783,1652402,0.570954802021013,0.510060144176902,0.654075851425914,0.559275982815801,0.507482144467161,0.646800381112977
