"","species","nicheSize_GFDL","nicheSize_MPI","nicheSize_UKESM","nicheDensity_GFDL","nicheDensity_MPI","nicheDensity_UKESM"
"1","Acanthocalycium leucanthum",39.8762627381849,40.298503625649,22.2120588052179,2472473,2631000,1858060
"2","Acanthocalycium rhodotrichum",14.8135208223813,13.8620207498899,10.6895265342959,990402,837456,941476
"3","Acanthocalycium thionanthum",4.87722569752995,4.9653341628999,3.82816756698339,97045,156730,268435
"4","Acanthocereus oaxacensis",2.12340654756472,1.66411840424532,3.21009518584068,136743,102782,139275
"5","Acanthocereus tetragonus",73.8524665150533,79.9737959217432,70.9530038321122,4126555,4074482,4319693
"6","Acharagma roseanum",0.657519889440178,0.792190652255271,2.82844846110074,64536,81729,177371
"7","Airampoa ayrampo",37.5155611235404,39.8694721636625,28.4963742358947,1749954,2093277,1939228
"8","Aporocactus flagelliformis",8.63817108355839,8.33631804877088,6.34296044112113,713493,435958,478366
"9","Aporocactus martianus",5.94018529560543,6.74263563281367,4.20205235228491,553242,564254,316588
"10","Ariocarpus fissuratus",8.92941505015314,9.60984919802512,5.34540559585429,813998,751451,499287
"11","Ariocarpus retusus",14.303992170255,14.9821591167857,10.4932457514237,1275795,1254610,530670
"12","Armatocereus cartwrightianus",18.2091124010364,17.3567947850859,16.4107371168153,1440538,1481747,667245
"13","Armatocereus godingianus",9.32167508387782,10.5164026803029,7.59628279573508,272882,468622,661426
"14","Armatocereus laetus",6.44758548202145,7.80081914086471,14.2371783619009,290677,342203,888477
"15","Armatocereus matucanensis",20.3189436329817,21.136338313939,17.908747242605,618030,736553,682850
"16","Arrojadoa dinae",3.9243797842233,4.64944580903473,2.3210554906921,189309,218945,207857
"17","Arrojadoa penicillata",8.47430386045425,9.37791831852915,4.0417785955283,415351,426898,255006
"18","Arrojadoa rhodantha",12.0582954104812,12.4145007970954,9.20329235384788,705487,750671,563849
"19","Arthrocereus glaziovii",0.995833999272678,1.10156611004561,1.55667554407999,60040,50013,208761
"20","Astrophytum asterias",4.0677390407062,4.54843853699057,2.44503317222826,250437,222873,85118
"21","Astrophytum capricorne",4.04960374199273,4.15080723212744,3.29365522602317,383878,515680,232825
"22","Astrophytum myriostigma",7.75891772283544,7.82230947460048,4.23021091198216,660556,679383,173271
"23","Astrophytum ornatum",8.0753914380196,8.16619084001785,5.23700156248208,754511,535495,321500
"24","Austrocactus coxii",9.41634430972472,10.4877669915878,12.9773407407671,823806,714594,1396353
"25","Austrocylindropuntia cylindrica",15.3038017704967,17.1082063978966,16.15917220049,1039427,1143833,1534843
