"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","WarningsEng"
"1","Echinopsis_calorubra",0.9,"654625","Echinopsis calorubra",1,"species","","",NA,"Cárdenas","Cactaceae","Echinopsis","Echinopsis",1,"calorubra","calorubra",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/3d41b617-c7a4-47c0-9250-13e30d469d9b/synonymy?highlite=d3dc8eb9-22fb-48d8-9554-0594b25e60f1&acceptedFor=d3dc8eb9-22fb-48d8-9554-0594b25e60f1#d3dc8eb9-22fb-48d8-9554-0594b25e60f1","","Y","Synonym","Lobivia calorubra","Lobivia calorubra","(Cárdenas) Rausch","1243988","species","https://caryophyllales.org/cdm_dataportal/taxon/3d41b617-c7a4-47c0-9250-13e30d469d9b","","Cactaceae","1","1","cact","0",""
"2","Echinopsis_rojasii",0.9,"654932","Echinopsis rojasii",1,"species","","",NA,"Cárdenas","Cactaceae","Echinopsis","Echinopsis",1,"rojasii","rojasii",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/259352ed-9691-421f-87a4-137cf205df39/synonymy?highlite=6f4d5ded-7bed-482c-975a-632afa8e95e0&acceptedFor=6f4d5ded-7bed-482c-975a-632afa8e95e0#6f4d5ded-7bed-482c-975a-632afa8e95e0","","Y","Synonym","Lobivia obrepanda","Lobivia obrepanda","(Salm-Dyck) Schlumpb.","1380087","species","https://caryophyllales.org/cdm_dataportal/taxon/259352ed-9691-421f-87a4-137cf205df39","","Cactaceae","1","1","cact","0",""
"3","Echinopsis_obrepanda",0.9,"654843","Echinopsis obrepanda",1,"species","","",NA,"(Salm-Dyck) K.Schum.","Cactaceae","Echinopsis","Echinopsis",1,"obrepanda","obrepanda",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/259352ed-9691-421f-87a4-137cf205df39/synonymy?highlite=836e6abf-b7b2-46cb-834a-e8ec48c2b00d&acceptedFor=836e6abf-b7b2-46cb-834a-e8ec48c2b00d#836e6abf-b7b2-46cb-834a-e8ec48c2b00d","","Y","Synonym","Lobivia obrepanda","Lobivia obrepanda","(Salm-Dyck) Schlumpb.","1380087","species","https://caryophyllales.org/cdm_dataportal/taxon/259352ed-9691-421f-87a4-137cf205df39","","Cactaceae","1","1","cact","0",""
"4","Echinopsis_oligotricha",0.9,"654851","Echinopsis oligotricha",1,"species","","",NA,"(Cárdenas) M.Lowry","Cactaceae","Echinopsis","Echinopsis",1,"oligotricha","oligotricha",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/d656beb4-3515-4ea0-b8fe-bd0bab497e54/synonymy?highlite=75d2789e-3b4b-4da3-8923-95150f967053&acceptedFor=75d2789e-3b4b-4da3-8923-95150f967053#75d2789e-3b4b-4da3-8923-95150f967053","","Y","Synonym","Lobivia taratensis","Lobivia taratensis","Cárdenas","1243833","species","https://caryophyllales.org/cdm_dataportal/taxon/d656beb4-3515-4ea0-b8fe-bd0bab497e54","","Cactaceae","1","1","cact","0",""
"5","Echinopsis_cardenasiana",0.9,"654631","Echinopsis cardenasiana",1,"species","","",NA,"(Rausch) H.Friedrich","Cactaceae","Echinopsis","Echinopsis",1,"cardenasiana","cardenasiana",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/dad66b0c-4499-4a5f-b43f-3716f603e0af/synonymy?highlite=c51bdca2-be16-4c3a-a10b-c2b544dfac95&acceptedFor=c51bdca2-be16-4c3a-a10b-c2b544dfac95#c51bdca2-be16-4c3a-a10b-c2b544dfac95","","Y","Synonym","Lobivia cardenasiana","Lobivia cardenasiana","Rausch","1230473","species","https://caryophyllales.org/cdm_dataportal/taxon/dad66b0c-4499-4a5f-b43f-3716f603e0af","","Cactaceae","1","1","cact","0",""
"6","Echinopsis_ancistrophora",0.9,"654557","Echinopsis ancistrophora",1,"species","","",NA,"Speg.","Cactaceae","Echinopsis","Echinopsis",1,"ancistrophora","ancistrophora",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/1addd397-6195-4c5a-aa42-a3d94b2be41f/synonymy?highlite=7b0bdca4-f1ef-4137-a4ed-a102e74836b9&acceptedFor=7b0bdca4-f1ef-4137-a4ed-a102e74836b9#7b0bdca4-f1ef-4137-a4ed-a102e74836b9","","Y","Synonym","Lobivia ancistrophora","Lobivia ancistrophora","(Speg.) Schlumpb.","1379864","species","https://caryophyllales.org/cdm_dataportal/taxon/1addd397-6195-4c5a-aa42-a3d94b2be41f","","Cactaceae","1","1","cact","0",""
"7","Echinopsis_chrysochete",0.9,"654649","Echinopsis chrysochete",1,"species","","",NA,"Werderm.","Cactaceae","Echinopsis","Echinopsis",1,"chrysochete","chrysochete",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/800d5c50-e54a-4857-804b-26bc2c812783/synonymy?highlite=e43bba83-bd4a-4c39-b271-bbef12ee0748&acceptedFor=e43bba83-bd4a-4c39-b271-bbef12ee0748#e43bba83-bd4a-4c39-b271-bbef12ee0748","","Y","Synonym","Lobivia chrysochete","Lobivia chrysochete","(Werderm.) Wessner","1266453","species","https://caryophyllales.org/cdm_dataportal/taxon/800d5c50-e54a-4857-804b-26bc2c812783","","Cactaceae","1","1","cact","0",""
"8","Echinopsis_ferox",0.9,"654724","Echinopsis ferox",1,"species","","",NA,"(Britton & Rose) Backeb.","Cactaceae","Echinopsis","Echinopsis",1,"ferox","ferox",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/2346d050-e66f-4684-8621-b65c6ae59a31/synonymy?highlite=7b54de9b-156d-4dfd-9dd7-092c6ceecfbe&acceptedFor=7b54de9b-156d-4dfd-9dd7-092c6ceecfbe#7b54de9b-156d-4dfd-9dd7-092c6ceecfbe","","Y","Synonym","Lobivia ferox","Lobivia ferox","Britton & Rose","1229331","species","https://caryophyllales.org/cdm_dataportal/taxon/2346d050-e66f-4684-8621-b65c6ae59a31","","Cactaceae","1","1","cact","0",""
"9","Echinopsis_pentlandii",0.9,"654873","Echinopsis pentlandii",1,"species","","",NA,"(Hook.) Salm-Dyck ex A.Dietr.","Cactaceae","Echinopsis","Echinopsis",1,"pentlandii","pentlandii",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/6d7f94ce-9861-4c22-9bbc-33be33ce67fa/synonymy?highlite=21956d8e-e4c0-4466-b4e4-c6b9dc346ffd&acceptedFor=21956d8e-e4c0-4466-b4e4-c6b9dc346ffd#21956d8e-e4c0-4466-b4e4-c6b9dc346ffd","","Y","Synonym","Lobivia pentlandii","Lobivia pentlandii","(Hook.) Britton & Rose","1270421","species","https://caryophyllales.org/cdm_dataportal/taxon/6d7f94ce-9861-4c22-9bbc-33be33ce67fa","","Cactaceae","1","1","cact","0",""
"10","Echinopsis_cinnabarina",0.9,"654650","Echinopsis cinnabarina",1,"species","","",NA,"(Hook.) Labour.","Cactaceae","Echinopsis","Echinopsis",1,"cinnabarina","cinnabarina",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/5205bd1c-78d1-48ac-a6c6-72f59a3cd7b2/synonymy?highlite=016adf87-7641-428d-8645-7eb85d67f4d1&acceptedFor=016adf87-7641-428d-8645-7eb85d67f4d1#016adf87-7641-428d-8645-7eb85d67f4d1","","Y","Synonym","Lobivia cinnabarina","Lobivia cinnabarina","(Hook.) Britton & Rose","1229326","species","https://caryophyllales.org/cdm_dataportal/taxon/5205bd1c-78d1-48ac-a6c6-72f59a3cd7b2","","Cactaceae","1","1","cact","0",""
